cluster_center	other_electrode, euclidean_distance**
Fpz	Fp2,27.253944396972656	Fp1,31.346410751342773	AFz,42.14373779296875	AF4,47.708030700683594	AF8,53.468257904052734	AF3,54.53252029418945	AF7,62.28264236450195	Fz,66.18704223632812	F4,67.27577209472656	F2,70.31167602539062	F6,71.10592651367188	F1,72.30525970458984	F3,72.89533233642578	F5,75.18926239013672	F8,78.63954162597656	F7,82.35150146484375	FC4,97.0296630859375	FC6,97.8590316772461	FC2,98.94830322265625	FCz,99.56497955322266	FC3,100.8689193725586	FT8,101.63420867919922	FC1,101.72138214111328	FC5,102.2771224975586	FT7,104.67594909667969	C6,123.78411102294922	T8,123.89795684814453	C4,125.06205749511719	T7,126.76387786865234	C5,127.87206268310547	C2,127.90370178222656	Cz,129.01351928710938	C1,129.1691436767578	C3,129.7620849609375	TP8,147.46665954589844	CP6,148.03074645996094	TP7,148.25709533691406	CP5,149.63433837890625	CP4,150.04248046875	CP3,152.53326416015625	CP2,152.9679412841797	CP1,154.82521057128906	CPz,155.7265167236328	P8,162.65040588378906	P7,165.08189392089844	P6,165.38540649414062	P4,167.9585723876953	P5,167.96241760253906	P2,168.2157745361328	P1,168.9510040283203	Pz,169.9996795654297	P3,170.55181884765625	PO8,177.3673095703125	PO4,177.84117126464844	PO7,179.837158203125	PO3,180.6039276123047	POz,182.86489868164062	O1,185.38995361328125	O2,186.97442626953125	Oz,189.60374450683594	
AF7	F7,24.642784118652344	AF3,24.838184356689453	F5,28.100116729736328	Fp1,33.10978317260742	F3,45.78160858154297	FT7,50.903751373291016	FC5,54.10849380493164	Fpz,62.28264236450195	F1,65.09339904785156	FC3,67.82703399658203	AFz,70.72576904296875	T7,77.03997039794922	C5,82.05670166015625	Fz,82.12419128417969	Fp2,85.58883666992188	FC1,86.52587127685547	C3,94.86361694335938	F2,98.19270324707031	AF4,98.31559753417969	TP7,103.44114685058594	FCz,103.91266632080078	AF8,104.14196014404297	F4,106.18955993652344	CP5,108.06095886230469	C1,110.34623718261719	F6,114.11257934570312	FC2,116.38892364501953	CP3,118.74230194091797	F8,118.89253234863281	FC4,125.08282470703125	Cz,125.84185028076172	P7,125.96267700195312	FC6,130.45603942871094	P5,131.3105010986328	FT8,132.87991333007812	CP1,132.93084716796875	C2,136.44691467285156	P3,139.7315673828125	C4,144.5148468017578	P1,146.30279541015625	CPz,146.6097869873047	T8,146.7263946533203	C6,146.80029296875	PO7,146.9534149169922	PO3,151.0435028076172	CP2,154.71017456054688	Pz,157.1570587158203	O1,159.20657348632812	CP4,160.09609985351562	CP6,160.90452575683594	TP8,160.93414306640625	P2,163.400634765625	POz,166.49330139160156	P8,168.4761962890625	P4,168.79910278320312	P6,169.40162658691406	Oz,171.71630859375	PO4,173.70477294921875	PO8,174.70314025878906	O2,175.6456756591797	
F1	F3,23.67706298828125	Fz,27.67870330810547	FC1,32.88875198364258	AFz,39.06782150268555	FC3,39.68224334716797	AF3,42.831207275390625	FCz,43.97728729248047	F5,46.078460693359375	F2,50.677024841308594	FC5,59.820274353027344	FC2,63.50586700439453	C1,63.734378814697266	AF7,65.09339904785156	Fp1,65.29692840576172	C3,68.88278198242188	F7,69.63326263427734	F4,70.56609344482422	Cz,71.5782699584961	Fpz,72.30525970458984	AF4,79.18241882324219	FT7,81.37437438964844	C5,81.80327606201172	FC4,83.47526550292969	C2,84.90326690673828	Fp2,86.40235137939453	F6,91.20993041992188	CP1,94.82548522949219	CP3,95.25972747802734	AF8,96.04143524169922	T7,98.18663787841797	CPz,101.57677459716797	FC6,101.8741226196289	C4,102.80818176269531	CP5,103.37673950195312	F8,106.93981170654297	CP2,109.60670471191406	P1,116.05094146728516	TP7,116.97991180419922	C6,117.8849105834961	FT8,118.10543060302734	P3,120.19300079345703	CP4,121.43817138671875	Pz,121.6939468383789	P5,124.46368408203125	P2,126.79497528076172	P7,130.37693786621094	T8,131.26315307617188	CP6,132.64231872558594	P4,136.9091796875	PO3,138.48484802246094	POz,142.69190979003906	P6,144.16395568847656	TP8,144.61314392089844	PO7,145.23974609375	PO4,149.67665100097656	P8,152.06878662109375	O1,152.94224548339844	PO8,159.02525329589844	Oz,159.6599578857422	O2,162.09437561035156	
F3	F5,23.14246368408203	F1,23.67706298828125	AF3,26.830156326293945	FC3,31.657909393310547	FC5,41.49627685546875	FC1,43.5895881652832	AF7,45.78160858154297	F7,48.198638916015625	Fz,49.33545684814453	AFz,51.89238739013672	Fp1,55.97196578979492	FT7,61.626155853271484	FCz,64.26814270019531	C3,64.28348541259766	C5,68.54335021972656	F2,70.90974426269531	C1,71.25988006591797	Fpz,72.89533233642578	T7,81.49847412109375	FC2,83.7347412109375	Cz,86.90266418457031	F4,87.66382598876953	AF4,91.31256103515625	Fp2,91.89078521728516	CP3,92.2167739868164	CP5,93.92510986328125	CP1,99.58967590332031	FC4,101.38188171386719	C2,102.31280517578125	TP7,103.65958404541016	F6,104.53797149658203	AF8,104.95246124267578	CPz,112.29388427734375	FC6,116.08946990966797	F8,116.6417465209961	P5,117.80365753173828	P3,118.06098175048828	P1,118.95533752441406	C4,119.19702911376953	P7,120.8032455444336	CP2,123.21192169189453	FT8,127.86882019042969	Pz,128.84336853027344	C6,130.85838317871094	CP4,134.97593688964844	PO3,135.48199462890625	P2,136.3629913330078	PO7,138.98880004882812	T8,140.1871337890625	CP6,143.6685791015625	POz,146.03538513183594	P4,146.5123291015625	O1,149.59982299804688	TP8,152.3424530029297	P6,152.60731506347656	PO4,156.05982971191406	P8,158.4558563232422	Oz,159.8335723876953	PO8,163.5451202392578	O2,164.19163513183594	
F5	F3,23.14246368408203	AF3,23.42644500732422	F7,25.828325271606445	AF7,28.100116729736328	FC5,31.32318687438965	FC3,40.3182373046875	FT7,42.94291687011719	F1,46.078460693359375	Fp1,51.07680130004883	C5,61.465065002441406	FC1,61.61227035522461	T7,66.63365173339844	AFz,66.85070037841797	C3,68.7762451171875	Fz,69.40935516357422	Fpz,75.18926239013672	FCz,84.12165832519531	C1,84.6310043334961	F2,88.5587387084961	CP5,88.75518798828125	TP7,91.91419219970703	CP3,94.83753967285156	Fp2,96.35270690917969	AF4,101.269775390625	FC2,101.52169036865234	F4,101.83048248291016	Cz,103.48006439208984	CP1,108.46797943115234	AF8,111.05375671386719	P7,112.58089447021484	P5,113.65514373779297	F6,114.44060516357422	FC4,115.87464141845703	C2,118.35865020751953	P3,118.94254302978516	F8,122.54513549804688	CPz,124.35722351074219	P1,124.37865447998047	FC6,126.40766906738281	C4,132.45425415039062	PO7,133.30796813964844	FT8,133.4473876953125	PO3,133.79600524902344	CP2,135.94334411621094	Pz,136.77212524414062	C6,139.985595703125	T8,144.86236572265625	P2,145.2646484375	O1,145.98947143554688	CP4,145.9954376220703	POz,149.2996826171875	CP6,151.32601928710938	P4,154.15234375	TP8,156.10162353515625	P6,158.24270629882812	Oz,158.86122131347656	PO4,160.4426727294922	P8,161.3462371826172	O2,164.3226318359375	PO8,165.25621032714844	
F7	AF7,24.642784118652344	F5,25.828325271606445	FT7,26.342899322509766	FC5,35.82891082763672	AF3,40.297367095947266	F3,48.198638916015625	T7,52.73137283325195	Fp1,56.18061828613281	FC3,58.105804443359375	C5,60.331634521484375	F1,69.63326263427734	C3,78.94477081298828	TP7,79.68167877197266	FC1,81.86483764648438	Fpz,82.35150146484375	AFz,85.06471252441406	CP5,85.82474517822266	Fz,90.25235748291016	C1,100.12911987304688	CP3,100.17194366455078	Fp2,102.56439971923828	P7,103.11956024169922	FCz,103.68385314941406	F2,105.96293640136719	P5,109.35282135009766	AF4,111.53041076660156	F4,115.34265899658203	AF8,116.63133239746094	FC2,117.99051666259766	CP1,118.3773422241211	Cz,119.71728515625	P3,119.96353912353516	F6,122.90711975097656	PO7,125.35432434082031	F8,126.20333862304688	FC4,128.32611083984375	P1,129.47463989257812	PO3,130.5712890625	C2,132.6843719482422	FC6,134.03302001953125	CPz,135.56503295898438	FT8,135.65525817871094	O1,139.28672790527344	C4,142.8782958984375	Pz,143.0850830078125	T8,145.35562133789062	C6,145.53924560546875	CP2,146.50088500976562	POz,149.92958068847656	P2,151.61141967773438	CP4,153.7654571533203	Oz,154.11729431152344	CP6,154.96324157714844	TP8,155.16590881347656	P4,158.28323364257812	P8,159.44142150878906	P6,159.69696044921875	O2,160.13710021972656	PO4,160.89610290527344	PO8,162.28713989257812	
FC1	FC3,29.38228416442871	C1,31.083890914916992	FCz,32.41912078857422	F1,32.88875198364258	F3,43.5895881652832	C3,44.04949188232422	Cz,45.66020584106445	Fz,47.89097595214844	FC5,57.66868591308594	FC2,58.70597457885742	F5,61.61227035522461	CP1,63.29356002807617	F2,63.30291748046875	C2,67.32347869873047	CP3,67.57916259765625	C5,67.7366943359375	AFz,68.2049560546875	AF3,69.08737182617188	CPz,72.74990844726562	F7,81.86483764648438	CP5,83.22941589355469	FT7,83.27118682861328	FC4,84.17318725585938	F4,84.30215454101562	AF7,86.52587127685547	CP2,86.68836975097656	P1,86.74317932128906	T7,91.7405776977539	P3,93.14136505126953	C4,93.63850402832031	Pz,93.94070434570312	Fp1,94.33663177490234	AF4,99.97918701171875	Fpz,101.72138214111328	P5,101.97914123535156	P2,102.34637451171875	TP7,104.34207916259766	F6,104.4008560180664	CP4,105.10882568359375	FC6,105.54273986816406	Fp2,112.19425201416016	P7,112.69038391113281	C6,113.46041107177734	PO3,114.15599060058594	AF8,115.6334228515625	P4,116.87726593017578	POz,117.6420669555664	F8,119.07012939453125	CP6,121.10067749023438	FT8,123.34708404541016	PO7,124.95529174804688	P6,128.20774841308594	PO4,129.79220581054688	T8,130.44326782226562	O1,132.08428955078125	TP8,137.4006805419922	Oz,138.7368927001953	P8,140.39962768554688	O2,143.0854949951172	PO8,143.12452697753906	
FC3	FC1,29.38228416442871	FC5,29.51031494140625	F3,31.657909393310547	C3,32.86976623535156	F1,39.68224334716797	F5,40.3182373046875	C5,44.86378860473633	C1,46.08991622924805	AF3,56.18218994140625	FT7,57.27138900756836	F7,58.105804443359375	FCz,60.14035415649414	CP3,61.69557189941406	Fz,64.405029296875	CP5,67.50409698486328	T7,67.73663330078125	AF7,67.82703399658203	Cz,70.6556396484375	CP1,71.45588684082031	AFz,76.49299621582031	F2,82.76861572265625	FC2,83.55327606201172	TP7,84.71778869628906	Fp1,85.02738952636719	P3,89.63199615478516	CPz,89.92720794677734	P1,91.41448974609375	P5,91.54619598388672	C2,92.01793670654297	P7,98.43762969970703	Fpz,100.8689193725586	F4,101.22295379638672	FC4,104.99864959716797	Pz,105.0411605834961	CP2,106.71104431152344	PO3,109.64541625976562	AF4,110.96441650390625	C4,114.7389144897461	PO7,115.82746887207031	Fp2,116.3033676147461	P2,116.5283203125	F6,117.98625183105469	FC6,121.71428680419922	POz,122.69369506835938	CP4,123.64898681640625	AF8,123.87789154052734	O1,127.3255844116211	F8,129.08229064941406	C6,129.4480743408203	P4,130.439697265625	FT8,134.26947021484375	CP6,135.55787658691406	PO4,138.80686950683594	Oz,139.08444213867188	P6,139.7005157470703	T8,141.05599975585938	O2,146.08810424804688	TP8,147.14324951171875	P8,148.7703857421875	PO8,149.2928924560547	
FC5	FT7,28.79456329345703	FC3,29.51031494140625	C5,30.481910705566406	F5,31.32318687438965	F7,35.82891082763672	F3,41.49627685546875	T7,42.764278411865234	C3,44.105987548828125	AF7,54.10849380493164	AF3,54.21745681762695	FC1,57.66868591308594	CP5,58.61286926269531	F1,59.820274353027344	TP7,65.49107360839844	CP3,67.30044555664062	C1,69.61321258544922	Fp1,80.56280517578125	Fz,84.46902465820312	P5,84.90708923339844	P7,85.26466369628906	FCz,85.71678924560547	CP1,86.7436752319336	AFz,89.63652038574219	P3,91.41969299316406	Cz,94.91422271728516	P1,100.35699462890625	F2,101.59371185302734	Fpz,102.2771224975586	FC2,105.24037170410156	PO7,106.93919372558594	PO3,107.02135467529297	CPz,108.24759674072266	C2,113.53343963623047	F4,116.107421875	Pz,116.99285888671875	Fp2,119.90631866455078	AF4,120.57815551757812	O1,121.63191986083984	FC4,121.83902740478516	CP2,124.49964141845703	POz,127.34808349609375	F6,128.16920471191406	P2,129.14791870117188	AF8,129.43992614746094	C4,131.22442626953125	FC6,133.1788330078125	F8,134.75070190429688	Oz,137.23789978027344	CP4,138.02162170410156	FT8,139.8809356689453	C6,140.12271118164062	P4,140.61837768554688	PO4,144.42578125	CP6,144.915283203125	O2,145.68890380859375	T8,145.83970642089844	P6,146.7041778564453	PO8,150.90908813476562	TP8,151.05538940429688	P8,151.7597198486328	
FT7	F7,26.342899322509766	T7,26.601200103759766	FC5,28.79456329345703	C5,39.98197555541992	F5,42.94291687011719	AF7,50.903751373291016	TP7,54.08731460571289	FC3,57.27138900756836	F3,61.626155853271484	CP5,62.80204772949219	AF3,63.03888702392578	C3,66.70671081542969	P7,78.4841537475586	Fp1,81.19863891601562	F1,81.37437438964844	CP3,82.41230773925781	FC1,83.27118682861328	P5,85.96077728271484	C1,93.48363494873047	P3,99.49185180664062	PO7,102.06035614013672	Fz,103.06539154052734	AFz,103.2050552368164	Fpz,104.67594909667969	CP1,105.12014770507812	FCz,107.68279266357422	PO3,108.71805572509766	P1,112.6270980834961	Cz,116.41692352294922	F2,117.3011245727539	O1,117.90747833251953	Fp2,121.85964965820312	FC2,122.75267028808594	CPz,125.72618865966797	AF4,127.2943344116211	F4,127.35254669189453	Pz,129.1541748046875	C2,131.12950134277344	AF8,131.5628662109375	POz,132.59646606445312	FC4,134.06544494628906	F6,134.18128967285156	Oz,135.3596954345703	F8,135.93862915039062	CP2,139.3814697265625	FC6,139.77139282226562	P2,140.0685577392578	FT8,140.51805114746094	C4,142.97628784179688	O2,143.79249572753906	T8,145.53875732421875	C6,145.8250732421875	PO4,147.7498016357422	P4,147.9272003173828	CP4,148.34988403320312	PO8,149.55914306640625	CP6,149.8392791748047	P6,150.17669677734375	TP8,150.23406982421875	P8,150.69825744628906	
C1	FC1,31.083890914916992	Cz,33.0356559753418	CP1,33.262733459472656	C3,34.410953521728516	CP3,45.496910095214844	FC3,46.08991622924805	FCz,46.170875549316406	CPz,47.49677276611328	P1,59.04319763183594	C2,60.645164489746094	F1,63.734378814697266	C5,65.40645599365234	FC2,67.86582946777344	Pz,68.15960693359375	P3,68.81449890136719	CP2,69.21153259277344	FC5,69.61321258544922	CP5,70.20001983642578	F3,71.25988006591797	Fz,75.01625061035156	P2,80.7646713256836	P5,83.4380111694336	F2,84.24108123779297	F5,84.6310043334961	C4,91.70647430419922	PO3,92.0097427368164	FC4,92.95628356933594	T7,93.11206817626953	FT7,93.48363494873047	CP4,93.75599670410156	POz,94.06381225585938	AF3,96.63687896728516	AFz,96.99905395507812	TP7,97.5924301147461	P7,99.17344665527344	P4,99.77749633789062	F7,100.12911987304688	F4,103.1362533569336	PO7,107.24797821044922	AF7,110.34623718261719	PO4,111.86074829101562	O1,113.0224838256836	CP6,113.293701171875	C6,113.68563842773438	FC6,114.04911804199219	P6,114.91275787353516	Oz,119.12464141845703	F6,120.74462890625	Fp1,121.98342895507812	AF4,122.14797973632812	O2,125.3971939086914	PO8,128.87567138671875	Fpz,129.1691436767578	P8,130.8662567138672	FT8,131.41015625	T8,132.45529174804688	TP8,132.68814086914062	F8,133.260498046875	AF8,135.8678741455078	Fp2,136.9603729248047	
C3	CP3,29.70009422302246	FC3,32.86976623535156	C5,33.24645233154297	C1,34.410953521728516	CP5,43.361297607421875	FC1,44.04949188232422	FC5,44.105987548828125	CP1,45.68547058105469	P3,59.93925857543945	T7,63.76628112792969	P1,63.84491729736328	F3,64.28348541259766	P5,65.0506591796875	Cz,65.91030883789062	FT7,66.70671081542969	F5,68.7762451171875	F1,68.88278198242188	TP7,70.33983612060547	FCz,71.61910247802734	CPz,72.34159088134766	P7,77.34288024902344	F7,78.94477081298828	PO3,82.77653503417969	Pz,82.80325317382812	AF3,87.45093536376953	Fz,89.14839935302734	C2,90.34479522705078	PO7,92.31553649902344	FC2,93.6010971069336	AF7,94.86361694335938	CP2,95.24050903320312	P2,99.05986785888672	POz,99.16865539550781	F2,102.8270263671875	O1,104.38685607910156	AFz,105.16612243652344	Fp1,115.0418701171875	FC4,115.37980651855469	C4,116.13589477539062	CP4,116.40511322021484	P4,116.47838592529297	Oz,117.73849487304688	F4,120.42652893066406	PO4,122.40277099609375	O2,127.80596160888672	P6,128.58050537109375	Fpz,129.7620849609375	CP6,130.41909790039062	FC6,131.90408325195312	C6,132.04396057128906	AF4,133.8597869873047	F6,135.371337890625	PO8,135.60986328125	P8,140.46421813964844	Fp2,142.19515991210938	FT8,143.7538299560547	TP8,143.9459991455078	F8,144.46937561035156	T8,144.6201934814453	AF8,145.16583251953125	
C5	CP5,28.70057487487793	FC5,30.481910705566406	T7,31.3989200592041	C3,33.24645233154297	FT7,39.98197555541992	TP7,42.54961395263672	CP3,43.91493225097656	FC3,44.86378860473633	P5,56.09929275512695	P7,58.541019439697266	F7,60.331634521484375	F5,61.465065002441406	P3,64.83204650878906	C1,65.40645599365234	FC1,67.7366943359375	F3,68.54335021972656	CP1,70.4547119140625	P1,78.62061309814453	PO3,80.10966491699219	PO7,80.37797546386719	F1,81.80327606201172	AF7,82.05670166015625	AF3,83.77269744873047	Cz,93.41259002685547	FCz,95.01898956298828	CPz,96.49378967285156	O1,96.9107894897461	Pz,99.38916778564453	Fz,104.06776428222656	POz,105.77473449707031	Fp1,108.58495330810547	C2,113.186767578125	FC2,113.54196166992188	AFz,113.60404205322266	P2,114.81503295898438	Oz,115.1768798828125	CP2,116.14382934570312	F2,117.7789077758789	O2,126.6457290649414	Fpz,127.87206268310547	P4,128.03370666503906	PO4,128.60598754882812	FC4,130.13607788085938	CP4,131.7568359375	F4,131.79164123535156	C4,132.2119598388672	P6,135.5618896484375	PO8,136.31524658203125	CP6,139.26063537597656	AF4,139.70846557617188	FC6,140.91844177246094	C6,141.2273406982422	P8,142.12982177734375	Fp2,142.1928253173828	F6,142.2411346435547	TP8,146.08834838867188	FT8,146.54119873046875	F8,146.86813354492188	T8,147.04344177246094	AF8,147.14358520507812	
T7	FT7,26.601200103759766	TP7,27.832775115966797	C5,31.3989200592041	FC5,42.764278411865234	CP5,43.06081771850586	F7,52.73137283325195	P7,53.239898681640625	P5,63.192264556884766	C3,63.76628112792969	F5,66.63365173339844	FC3,67.73663330078125	CP3,69.70223236083984	AF7,77.03997039794922	PO7,78.03717041015625	P3,80.81595611572266	F3,81.49847412109375	PO3,86.95535278320312	AF3,87.56025695800781	FC1,91.7405776977539	C1,93.11206817626953	O1,95.80192565917969	CP1,96.0386962890625	P1,98.0340347290039	F1,98.18663787841797	Fp1,105.92328643798828	POz,115.54058074951172	FCz,115.91969299316406	Oz,115.92988586425781	Pz,116.86958312988281	Cz,117.16460418701172	CPz,118.75603485107422	Fz,118.8802261352539	AFz,122.85128021240234	Fpz,126.76387786865234	O2,126.80853271484375	P2,129.67369079589844	FC2,130.1780548095703	F2,130.73300170898438	C2,132.1539764404297	CP2,134.127685546875	PO4,134.5333251953125	PO8,136.382080078125	P4,138.05535888671875	F4,140.48545837402344	P6,140.73941040039062	Fp2,140.9339141845703	FC4,141.26951599121094	P8,141.752197265625	AF4,143.39341735839844	CP4,143.88931274414062	C4,144.3669891357422	CP6,145.09361267089844	TP8,145.29513549804688	FT8,145.7649688720703	F6,145.97125244140625	T8,145.9766387939453	F8,145.97775268554688	FC6,146.24710083007812	AF8,146.5245819091797	C6,146.7264862060547	
CP1	P1,27.578283309936523	CP3,31.700204849243164	CPz,32.58143615722656	C1,33.262733459472656	P3,42.12525177001953	Pz,42.17498016357422	C3,45.68547058105469	Cz,47.555667877197266	CP2,60.833045959472656	CP5,61.04854202270508	P2,61.23788833618164	FC1,63.29356002807617	P5,63.51633834838867	PO3,65.63892364501953	POz,66.66818237304688	C2,68.84024047851562	C5,70.4547119140625	FC3,71.45588684082031	FCz,73.3857650756836	P4,83.64021301269531	P7,83.67139434814453	PO7,85.38272094726562	FC5,86.7436752319336	CP4,87.52511596679688	FC2,87.67280578613281	O1,88.9234390258789	TP7,90.7630844116211	PO4,91.90950012207031	Oz,94.50506591796875	F1,94.82548522949219	T7,96.0386962890625	C4,96.92021179199219	F3,99.58967590332031	P6,101.20344543457031	O2,103.29106140136719	Fz,104.7405776977539	FT7,105.12014770507812	CP6,107.12727355957031	FC4,107.9585189819336	F5,108.46797943115234	F2,109.66464233398438	PO8,111.45050048828125	C6,116.67822265625	F7,118.3773422241211	P8,119.40509033203125	AF3,123.35861206054688	F4,125.07244110107422	FC6,125.3907470703125	AFz,126.11222839355469	TP8,126.93179321289062	AF7,132.93084716796875	T8,134.2152557373047	F6,138.49215698242188	FT8,139.59524536132812	AF4,144.80799865722656	F8,147.30941772460938	Fp1,147.62245178222656	Fpz,154.82521057128906	AF8,155.48219299316406	Fp2,160.34046936035156	
CP3	C3,29.70009422302246	P3,31.56819725036621	CP5,31.657407760620117	CP1,31.700204849243164	P1,39.51377868652344	P5,42.13554382324219	C5,43.91493225097656	C1,45.496910095214844	PO3,56.59103775024414	P7,60.662601470947266	FC3,61.69557189941406	CPz,62.524993896484375	Pz,63.88362503051758	TP7,63.934696197509766	FC5,67.30044555664062	FC1,67.57916259765625	T7,69.70223236083984	PO7,70.1013412475586	Cz,71.55107116699219	POz,75.88407135009766	O1,81.29815673828125	FT7,82.41230773925781	P2,83.82132720947266	CP2,87.879638671875	FCz,88.22303771972656	F3,92.2167739868164	C2,93.41866302490234	F5,94.83753967285156	F1,95.25972747802734	Oz,95.37459564208984	F7,100.17194366455078	P4,102.79736328125	PO4,105.21440124511719	FC2,105.61067962646484	O2,108.01716613769531	CP4,110.01744842529297	Fz,111.85911560058594	AF3,113.97711181640625	P6,116.32848358154297	C4,117.93182373046875	AF7,118.74230194091797	PO8,119.99761962890625	F2,121.10505676269531	CP6,124.0033950805664	FC4,124.82703399658203	AFz,129.2096710205078	P8,129.80224609375	C6,132.69834899902344	F4,136.4359588623047	TP8,137.9273223876953	FC6,139.2744140625	Fp1,139.56373596191406	T8,144.75819396972656	F6,148.52992248535156	FT8,149.23764038085938	AF4,151.7115478515625	Fpz,152.53326416015625	F8,155.0699920654297	AF8,160.8791046142578	Fp2,161.96548461914062	
CP5	P5,27.9851016998291	C5,28.70057487487793	CP3,31.657407760620117	TP7,32.91987228393555	P7,35.64476776123047	P3,40.24449920654297	T7,43.06081771850586	C3,43.361297607421875	PO3,53.30330276489258	PO7,54.73940658569336	FC5,58.61286926269531	P1,59.85163879394531	CP1,61.04854202270508	FT7,62.80204772949219	FC3,67.50409698486328	C1,70.20001983642578	O1,72.18836212158203	FC1,83.22941589355469	Pz,83.29685974121094	POz,84.01144409179688	F7,85.82474517822266	CPz,87.9250259399414	F5,88.75518798828125	Oz,92.4002914428711	F3,93.92510986328125	Cz,95.68367004394531	P2,100.84960174560547	F1,103.37673950195312	FCz,106.21830749511719	O2,106.5560073852539	AF7,108.06095886230469	CP2,108.68406677246094	AF3,110.07515716552734	PO4,111.7237777709961	C2,113.87596893310547	P4,114.69316101074219	PO8,120.34622955322266	FC2,121.7679214477539	Fz,122.31718444824219	P6,123.08760070800781	CP4,124.73036193847656	P8,130.8638153076172	CP6,132.0603790283203	C4,132.13720703125	F2,132.22366333007812	Fp1,133.23483276367188	AFz,134.549560546875	FC4,136.82257080078125	TP8,139.21273803710938	C6,140.40541076660156	F4,144.82598876953125	T8,146.01414489746094	FC6,146.26499938964844	Fpz,149.63433837890625	FT8,150.60687255859375	F6,153.22525024414062	AF4,155.30398559570312	F8,155.90646362304688	Fp2,160.57545471191406	AF8,161.21873474121094	
TP7	P7,26.476524353027344	T7,27.832775115966797	CP5,32.91987228393555	P5,41.56924057006836	C5,42.54961395263672	PO7,52.07354736328125	FT7,54.08731460571289	CP3,63.934696197509766	P3,64.2885971069336	PO3,64.42964935302734	FC5,65.49107360839844	C3,70.33983612060547	O1,71.63539123535156	F7,79.68167877197266	FC3,84.71778869628906	P1,85.25325775146484	CP1,90.7630844116211	F5,91.91419219970703	Oz,94.36932373046875	POz,97.40047454833984	C1,97.5924301147461	AF7,103.44114685058594	F3,103.65958404541016	FC1,104.34207916259766	Pz,105.01807403564453	O2,107.7133560180664	AF3,112.51238250732422	CPz,113.31995391845703	F1,116.97991180419922	P2,118.87907409667969	PO4,119.65376281738281	Cz,120.12062072753906	PO8,121.29887390136719	FCz,126.03531646728516	P4,127.0088882446289	CP2,129.03822326660156	P6,129.78671264648438	Fp1,130.4208526611328	P8,131.19549560546875	C2,133.84371948242188	Fz,135.47219848632812	FC2,138.18992614746094	CP4,138.6177978515625	TP8,138.98377990722656	CP6,139.10043334960938	AFz,142.46986389160156	F2,144.31446838378906	C4,145.22232055664062	T8,145.35682678222656	C6,146.6327362060547	FC4,148.11239624023438	Fpz,148.25709533691406	FT8,150.1185302734375	FC6,151.8933563232422	F4,153.12046813964844	F8,155.1595001220703	F6,156.91705322265625	AF4,158.6718292236328	Fp2,159.17721557617188	AF8,160.57284545898438	
P1	P3,25.23792266845703	Pz,27.388078689575195	CP1,27.578283309936523	CP3,39.51377868652344	CPz,40.088836669921875	POz,41.43965530395508	PO3,42.23341369628906	P2,49.76300048828125	P5,49.79743576049805	C1,59.04319763183594	CP5,59.85163879394531	CP2,62.32152557373047	C3,63.84491729736328	O1,64.87774658203125	PO7,64.95928955078125	Cz,67.5343246459961	Oz,69.41944885253906	P7,70.6709976196289	P4,70.74523162841797	PO4,72.94962310791016	C5,78.62061309814453	O2,80.18366241455078	C2,80.66828918457031	CP4,84.24630737304688	TP7,85.25325775146484	FC1,86.74317932128906	P6,87.49393463134766	FC3,91.41448974609375	PO8,92.40924072265625	FCz,94.47698211669922	T7,98.0340347290039	CP6,99.90486907958984	FC5,100.35699462890625	C4,101.44898986816406	FC2,103.2608642578125	P8,105.26264953613281	FT7,112.6270980834961	F1,116.05094146728516	C6,116.10442352294922	TP8,117.24714660644531	FC4,117.99689483642578	F3,118.95533752441406	F5,124.37865447998047	Fz,124.80289459228516	F2,126.64234924316406	F7,129.47463989257812	T8,130.24551391601562	FC6,130.559814453125	F4,138.46829223632812	AF3,140.25865173339844	FT8,140.48468017578125	AFz,144.5427703857422	AF7,146.30279541015625	F6,147.51011657714844	F8,152.42611694335938	AF4,157.28004455566406	Fp1,162.27996826171875	AF8,164.72830200195312	Fpz,168.9510040283203	Fp2,172.387939453125	
P3	P1,25.23792266845703	P5,25.73664665222168	PO3,26.69771957397461	CP3,31.56819725036621	CP5,40.24449920654297	CP1,42.12525177001953	PO7,46.02267837524414	P7,48.2240104675293	POz,50.035037994384766	Pz,50.310447692871094	O1,53.4785270690918	C3,59.93925857543945	CPz,63.55245590209961	TP7,64.2885971069336	C5,64.83204650878906	Oz,67.49810791015625	C1,68.81449890136719	P2,70.76811981201172	T7,80.81595611572266	O2,82.60480499267578	PO4,84.42935180664062	CP2,84.9492416381836	Cz,85.37068176269531	P4,87.7896957397461	FC3,89.63199615478516	FC5,91.41969299316406	FC1,93.14136505126953	PO8,98.9190673828125	FT7,99.49185180664062	C2,100.36939239501953	P6,100.4921875	CP4,103.47418212890625	FCz,107.36653900146484	P8,113.7830810546875	CP6,114.40928649902344	F3,118.06098175048828	FC2,118.53084564208984	F5,118.94254302978516	C4,119.1930160522461	F7,119.96353912353516	F1,120.19300079345703	TP8,126.56053924560547	C6,130.0049285888672	FC4,132.73199462890625	Fz,133.1612548828125	AF3,137.53964233398438	F2,137.7773895263672	T8,139.5948486328125	AF7,139.7315673828125	FC6,143.0389404296875	FT8,149.49807739257812	F4,149.5018310546875	AFz,150.2400665283203	F6,157.39837646484375	Fp1,159.97630310058594	F8,160.35984802246094	AF4,165.1807403564453	Fpz,170.55181884765625	AF8,171.2919921875	Fp2,176.51695251464844	
